"Address","Prinsengracht 263, 1016GV Amsterdam"
"Latitude","52.37493637"
"Longitude","4.88431719"

"API Name","Category","Status","Data"
"BAG Address","free","success","{""address"":""Prinsengracht 263, 1016GV Amsterdam"",""coordinates"":[4.88431719,52.37493637]}"
"KNMI Weather","free","success","{""temperature"":7.2,""precipitation"":0,""rainfallForecast"":[0,0,0,0,0,0],""windSpeed"":16.6,""windDirection"":183,""humidity"":89,""pressure"":1016.6,""lastUpdated"":""0001-01-01T00:00:00Z"",""historicalRainfall"":[{""date"":""2025-12-15T00:00"",""value"":0},{""date"":""2025-12-15T01:00"",""value"":0},{""date"":""2025-12-15T02:00"",""value"":0},{""date"":""2025-12-15T03:00"",""value"":0},{""date"":""2025-12-15T04:00"",""value"":0},{""date"":""2025-12-15T05:00"",""value"":0}]}"
"KNMI Solar","free","success","{""solarRadiation"":0,""sunshineHours"":3.8801805555555555,""uvIndex"":1,""date"":""2025-12-15T00:00"",""historical"":[{""date"":""2025-12-15T00:00"",""value"":0},{""date"":""2025-12-15T01:00"",""value"":0},{""date"":""2025-12-15T02:00"",""value"":0},{""date"":""2025-12-15T03:00"",""value"":0},{""date"":""2025-12-15T04:00"",""value"":0},{""date"":""2025-12-15T05:00"",""value"":0}]}"
"Luchtmeetnet Air Quality","free","success","{""stationId"":""NL01491"",""stationName"":""Overschie-A13"",""measurements"":[{""parameter"":""NO"",""value"":6,""unit"":""µg/m³""},{""parameter"":""NO2"",""value"":22,""unit"":""µg/m³""},{""parameter"":""PM25"",""value"":9.9,""unit"":""µg/m³""},{""parameter"":""PM10"",""value"":17.6,""unit"":""µg/m³""},{""parameter"":""FN"",""value"":0.79,""unit"":""µg/m³""},{""parameter"":""BCWB"",""value"":0.19,""unit"":""µg/m³""},{""parameter"":""NO"",""value"":7.9,""unit"":""µg/m³""},{""parameter"":""NO2"",""value"":23.9,""unit"":""µg/m³""},{""parameter"":""PM25"",""value"":11.4,""unit"":""µg/m³""},{""parameter"":""PM10"",""value"":20,""unit"":""µg/m³""},{""parameter"":""FN"",""value"":0.85,""unit"":""µg/m³""},{""parameter"":""BCWB"",""value"":0.21,""unit"":""µg/m³""},{""parameter"":""NO"",""value"":6.1,""unit"":""µg/m³""},{""parameter"":""NO2"",""value"":20.5,""unit"":""µg/m³""},{""parameter"":""PM25"",""value"":10.7,""unit"":""µg/m³""},{""parameter"":""PM10"",""value"":17.7,""unit"":""µg/m³""},{""parameter"":""FN"",""value"":0.8,""unit"":""µg/m³""},{""parameter"":""BCWB"",""value"":0.18,""unit"":""µg/m³""},{""parameter"":""NO"",""value"":6.9,""unit"":""µg/m³""},{""parameter"":""NO2"",""value"":23.3,""unit"":""µg/m³""},{""parameter"":""PM25"",""value"":11.4,""unit"":""µg/m³""},{""parameter"":""PM10"",""value"":19.5,""unit"":""µg/m³""},{""parameter"":""FN"",""value"":0.73,""unit"":""µg/m³""},{""parameter"":""BCWB"",""value"":0.16,""unit"":""µg/m³""},{""parameter"":""NO"",""value"":7.5,""unit"":""µg/m³""},{""parameter"":""NO2"",""value"":23.3,""unit"":""µg/m³""},{""parameter"":""PM25"",""value"":10.8,""unit"":""µg/m³""},{""parameter"":""PM10"",""value"":20.1,""unit"":""µg/m³""},{""parameter"":""FN"",""value"":0.74,""unit"":""µg/m³""},{""parameter"":""BCWB"",""value"":0.17,""unit"":""µg/m³""},{""parameter"":""NO"",""value"":9.5,""unit"":""µg/m³""},{""parameter"":""NO2"",""value"":30.9,""unit"":""µg/m³""},{""parameter"":""PM25"",""value"":11.4,""unit"":""µg/m³""},{""parameter"":""PM10"",""value"":21.7,""unit"":""µg/m³""},{""parameter"":""FN"",""value"":0.86,""unit"":""µg/m³""},{""parameter"":""BCWB"",""value"":0.19,""unit"":""µg/m³""},{""parameter"":""NO"",""value"":10.2,""unit"":""µg/m³""},{""parameter"":""NO2"",""value"":28.3,""unit"":""µg/m³""},{""parameter"":""PM25"",""value"":16.2,""unit"":""µg/m³""},{""parameter"":""PM10"",""value"":36.3,""unit"":""µg/m³""},{""parameter"":""FN"",""value"":0.78,""unit"":""µg/m³""},{""parameter"":""BCWB"",""value"":0.17,""unit"":""µg/m³""},{""parameter"":""NO"",""value"":6.1,""unit"":""µg/m³""},{""parameter"":""NO2"",""value"":27.1,""unit"":""µg/m³""},{""parameter"":""PM25"",""value"":15.5,""unit"":""µg/m³""},{""parameter"":""PM10"",""value"":24.9,""unit"":""µg/m³""},{""parameter"":""FN"",""value"":0.7,""unit"":""µg/m³""},{""parameter"":""BCWB"",""value"":0.14,""unit"":""µg/m³""},{""parameter"":""NO"",""value"":1.9,""unit"":""µg/m³""},{""parameter"":""NO2"",""value"":20.8,""unit"":""µg/m³""}],""aqi"":58,""category"":""Moderate"",""lastUpdated"":""2025-12-15T13:00:00+00:00""}"
"CBS Population","free","success","{""totalPopulation"":0,""ageDistribution"":{},""households"":0,""averageHouseholdSize"":0,""demographics"":{""age0to14"":0,""age15to24"":0,""age25to44"":0,""age45to64"":0,""age65plus"":0}}"
"CBS Square Statistics","free","success","{""gridId"":"""",""population"":0,""households"":0,""averageWOZ"":0,""averageIncome"":0,""housingDensity"":0}"
"BRO Soil Map","free","success","{""soilType"":""Unknown"",""peatComposition"":0,""profile"":""Unknown"",""foundationQuality"":""Unknown"",""groundwaterDepth"":0}"
"NDW Traffic","free","error","No traffic data available"
"openOV Public Transport","free","success","{""nearestStops"":[],""connections"":[]}"
"Flood Risk","free","error","Failed to fetch flood risk"
"Green Spaces","free","success","{""totalGreenArea"":0,""greenPercentage"":0,""nearestPark"":"""",""parkDistance"":0,""treeCanopyCover"":0,""greenSpaces"":[]}"
"Education Facilities","free","success","{""nearestPrimarySchool"":null,""nearestSecondarySchool"":null,""allSchools"":[],""averageQuality"":0}"
"Facilities & Amenities","free","success","{""topFacilities"":[],""amenitiesScore"":0,""categoryCounts"":{}}"
"AHN Height Model","free","success","{""elevation"":0,""terrainSlope"":0,""floodRisk"":""Unknown"",""viewPotential"":""Unknown"",""surrounding"":[]}"
"Monument Status","free","success","{""isMonument"":false,""type"":"""",""date"":""""}"
"PDOK Platform","free","error","Failed to fetch PDOK data"
"Land Use & Zoning","free","error","Failed to fetch land use data"
"Kadaster Object Info","freemium","not_configured","API key not configured"
"Altum WOZ","freemium","not_configured","API key not configured"
"Matrixian Property Value+","freemium","not_configured","API key not configured"
"Altum Transactions","freemium","not_configured","API key not configured"
"Noise Pollution","freemium","success","{""totalNoise"":0,""roadNoise"":0,""railNoise"":0,""industryNoise"":0,""aircraftNoise"":0,""noiseCategory"":""Unknown"",""exceedsLimit"":false,""sources"":[]}"
"WUR Soil Physicals","freemium","success","{""soilType"":""Unknown"",""composition"":""Unknown"",""permeability"":0,""organicMatter"":0,""ph"":0,""suitability"":""Unknown""}"
"SkyGeo Subsidence","freemium","success","{""subsidenceRate"":0,""totalSubsidence"":0,""stabilityRating"":""Unknown"",""measurementDate"":"""",""groundMovement"":0}"
"Soil Quality","freemium","not_configured","API key required"
"Altum Energy & Climate","freemium","success","{""energyLabel"":""Unknown"",""climateRisk"":""Unknown"",""efficiencyScore"":0,""annualEnergyCost"":0,""co2Emissions"":0,""heatLoss"":0}"
"Altum Sustainability","freemium","success","{""currentRating"":""Unknown"",""potentialRating"":""Unknown"",""recommendedMeasures"":[],""totalCO2Savings"":0,""totalCostSavings"":0,""investmentCost"":0,""paybackPeriod"":0}"
"Parking Availability","freemium","success","{""totalSpaces"":0,""availableSpaces"":0,""occupancyRate"":0,""parkingZones"":[],""lastUpdated"":""""}"
"Digital Delta Water Quality","freemium","not_configured","Water authority account required"
"CBS Safety Experience","freemium","not_configured","API key required"
"Schiphol Flight Noise","freemium","not_configured","API key not configured"
"Building Permits","freemium","success","{""totalPermits"":0,""newConstruction"":0,""renovations"":0,""permits"":[],""growthTrend"":""Unknown""}"
"Stratopo Environment","freemium","not_configured","API key not configured"